$ 900 Point Integration Scheme

$ Collums: Node id x y z weight
293 -7.87195563770000E-01 6.15212768795000E-01 -4.28531619930000E-02 1.45488334608868E-02
294 2.82601552833000E-01 9.01178731812000E-01 3.28653701738000E-01 1.78058308264068E-02
295 5.41807304470000E-02 -9.54665655355000E-01 -2.92707934524000E-01 1.82446212440204E-02
296 -9.58719484843000E-01 -2.35255871269000E-01 -1.59723587536000E-01 1.41928366868247E-02
297 -3.92652775321000E-01 -5.75362380497000E-01 7.17483051466000E-01 1.99887387405119E-02
298 -5.61771637121000E-01 8.20575748024000E-01 1.05204892852000E-01 1.48659738116527E-02
299 8.23185361072000E-01 -2.15179177069000E-01 5.25417722457000E-01 1.56700991306311E-02
300 9.83645755443000E-01 3.25325186500000E-02 1.77151525618000E-01 1.04039186426620E-02
301 1.91768925610000E-02 3.28680402850000E-01 9.44246493017000E-01 9.06032849626550E-03
302 2.37210965190000E-02 9.93726985004000E-01 1.09288557748000E-01 8.38838396195948E-03
303 -7.18807457520000E-01 2.61581505426000E-01 6.44120295467000E-01 9.47791372696123E-03
304 -3.06776472984000E-01 -9.22444171985000E-01 -2.34488688843000E-01 2.03088923142620E-02
305 -4.39738720648000E-01 4.07440516420000E-01 -8.00388707531000E-01 1.28874625734505E-02
306 6.78197541212000E-01 -2.75426864701000E-01 6.81313538171000E-01 1.69430710167226E-02
307 5.56368501142000E-01 -5.74065964726000E-01 6.00751495279000E-01 1.18717516180934E-02
308 4.70281288793000E-01 2.39833697705000E-01 8.49302835776000E-01 1.67198061536797E-02
309 -8.65502721861000E-01 2.88515012311000E-01 -4.09468101472000E-01 1.48789336773806E-02
310 -9.94849586160000E-02 9.89131449967000E-01 -1.08266881804000E-01 1.49817206671204E-02
311 -1.50483582109000E-01 -9.15491849186000E-01 -3.73134514068000E-01 1.95134395257715E-02
312 -4.19243439803000E-01 -8.83634189848000E-01 -2.08387995607000E-01 1.15018934044414E-02
313 -9.17605895125000E-01 2.67307387498000E-01 -2.94187324372000E-01 1.52972647574942E-02
314 -2.86399753629000E-01 9.35065444260000E-01 -2.08872679096000E-01 1.17132918440179E-02
315 -2.22972817862000E-01 9.67657131626000E-01 1.17994907123000E-01 1.90842976966750E-02
316 -3.24209489310000E-02 9.03438800102000E-01 -4.27489434419000E-01 1.15582743331896E-02
317 -8.45473881330000E-02 7.24069707971000E-01 -6.84525234859000E-01 1.62293444343992E-02
318 2.62727067599000E-01 -8.74456907111000E-01 4.07798486457000E-01 9.64440018570751E-03
319 2.86181442959000E-01 6.23537927212000E-01 7.27530504539000E-01 1.23678958286232E-02
320 7.21507640447000E-01 5.70821841144000E-01 -3.91904517007000E-01 1.53852895448913E-02
321 9.64743099470000E-02 8.99683833176000E-01 -4.25748409090000E-01 1.71515424349016E-02
322 -5.57912749070000E-02 -2.82869193447000E-01 -9.57534517938000E-01 1.57037623834343E-02
323 -3.73340138711000E-01 6.91719004963000E-01 6.18176317081000E-01 2.18582417426389E-02
324 -1.99415911886000E-01 -9.75977491558000E-01 8.77566525080000E-02 1.13467816830437E-02
325 -4.69683737844000E-01 -1.43550852863000E-01 -8.71085724281000E-01 1.54796392851310E-02
326 7.29979445183000E-01 -6.66899296605000E-01 1.49583882151000E-01 1.16977998432550E-02
327 8.94903606708000E-01 4.22666590230000E-01 -1.43179915506000E-01 1.34905152259430E-02
328 -1.64329643459000E-01 9.59647501694000E-01 2.28193866644000E-01 6.97587883015649E-03
329 -5.57256121998000E-01 1.70930277542000E-01 8.12556739382000E-01 2.39480069237522E-02
330 -6.64354856752000E-01 -3.29370888402000E-01 6.70930281165000E-01 1.95380706928264E-02
331 -5.53232875560000E-02 -7.03357227230000E-02 -9.95988062159000E-01 1.52537981952052E-02
332 4.83099206150000E-01 -7.46463594732000E-01 -4.57610378769000E-01 9.53428980041073E-03
333 2.51670190586000E-01 -6.69716936739000E-01 6.98671124217000E-01 1.35728121201053E-02
334 -3.09066738538000E-01 -2.61684561657000E-01 -9.14329777115000E-01 1.48999477919655E-02
335 2.05372356915000E-01 -4.62381552021000E-01 -8.62569124978000E-01 1.03273595320778E-02
336 -7.84215078280000E-02 -9.94833420465000E-01 6.44711767900000E-02 2.06375190864155E-02
337 -4.07726365795000E-01 8.24963141963000E-01 -3.91401360547000E-01 1.37123175848029E-02
338 1.19883870610000E-02 -5.74484484077000E-01 -8.18427673121000E-01 1.34757367398911E-02
339 7.61126573389000E-01 -6.40647284883000E-01 -1.01278801598000E-01 1.87401756133975E-02
340 -5.94897448793000E-01 2.10713862008000E-01 -7.75691107192000E-01 1.47491232728906E-02
341 4.48746004510000E-02 -9.98132783902000E-01 4.14393042100000E-02 1.27720864906552E-02
342 1.75707971267000E-01 3.02630226654000E-01 -9.36771933156000E-01 1.65389357224725E-02
343 2.64562208839000E-01 -5.45489755147000E-01 -7.95265845289000E-01 1.53948658850204E-02
344 8.27306017903000E-01 -5.61381158395000E-01 -2.03947969150000E-02 1.26994604863762E-02
345 -5.67950337988000E-01 -6.20255190695000E-01 5.41032265207000E-01 5.92183677300995E-03
346 -2.92533959217000E-01 -5.38264843978000E-01 7.90376391627000E-01 1.08713284540140E-03
347 -3.23774816087000E-01 -8.39429919013000E-01 4.36494306416000E-01 1.50762800121885E-02
348 -6.45605096510000E-02 -4.42860238947000E-01 8.94263243879000E-01 2.27743345045474E-02
349 -3.42583684965000E-01 -8.30132230231000E-01 -4.39905557055000E-01 1.88108664651193E-02
350 -4.42663945332000E-01 3.46302385158000E-01 8.27117458126000E-01 2.45601831125823E-02
351 9.54394456222000E-01 8.30182611370000E-02 -2.86773761440000E-01 1.48748937266418E-02
352 -2.80890478067000E-01 8.51568611136000E-01 4.42641434866000E-01 1.66451269170984E-02
353 -5.11391507367000E-01 7.50667642179000E-01 4.18302303578000E-01 9.40507650092529E-03
354 -6.61399917470000E-01 5.04328082720000E-01 -5.55160638150000E-01 1.29638494966711E-02
355 -5.68477570104000E-01 7.63240101254000E-01 3.07079468748000E-01 1.66324797106349E-02
356 -9.41284247886000E-01 3.23581835278000E-01 -9.63263232980000E-02 1.44044657229571E-02
357 -4.46553915747000E-01 7.26349799552000E-01 5.22499348346000E-01 1.45786521862655E-02
358 2.77990958449000E-01 9.05832414718000E-01 -3.19669616115000E-01 1.75704450812314E-02
359 5.64712706179000E-01 6.16912168490000E-01 -5.48196074274000E-01 1.53480954080094E-02
360 -1.71289742615000E-01 6.77991811499000E-01 7.14833496428000E-01 2.51331155074240E-02
361 5.40210065331000E-01 -8.10594619205000E-01 2.26073989282000E-01 2.00975697136706E-02
362 -2.53489464770000E-01 -5.49828951650000E-02 9.65774286513000E-01 2.82240330835522E-02
363 4.21508259800000E-02 1.22487517458000E-01 9.91574563982000E-01 8.39696134495854E-03
364 -9.55293563768000E-01 2.34039896334000E-01 -1.80664146826000E-01 1.17999797923503E-02
365 -9.22808417137000E-01 3.70332593939000E-01 1.06199788738000E-01 1.28003220044984E-02
366 6.53987538808000E-01 -3.66464314599000E-01 -6.61818861328000E-01 1.81275063916840E-02
367 -4.54359973411000E-01 8.83246382364000E-01 1.15900140649000E-01 1.20767425695707E-02
368 -5.58429125850000E-02 -2.18380193045000E-01 9.74264676769000E-01 1.81925601271946E-03
369 -4.23785012974000E-01 -6.03942596977000E-01 -6.75025630873000E-01 1.13470444289519E-02
370 -1.70749146349000E-01 -8.05586775952000E-01 -5.67339999853000E-01 1.81798327626024E-02
371 -5.38718513686000E-01 -2.47795086824000E-01 -8.05220440599000E-01 8.75806293707845E-03
372 -4.64777325019000E-01 -6.96550753029000E-01 5.46625179262000E-01 1.84443614759023E-02
373 9.24467469357000E-01 1.78434398460000E-01 3.36928870160000E-01 1.03363020121800E-02
374 4.70728018290000E-01 8.58387096404000E-01 2.03928236209000E-01 1.67555913171315E-02
375 -8.86188442150000E-01 3.27584666920000E-01 3.27655811788000E-01 1.27039495595362E-02
376 3.78988579576000E-01 8.32244833632000E-01 4.04643291608000E-01 1.81630885195097E-02
377 -2.68887025568000E-01 -8.96471131202000E-01 -3.52192104401000E-01 1.05349992937647E-02
378 -3.61439546712000E-01 -6.99821592903000E-01 -6.16125954801000E-01 1.80220721971613E-02
379 -4.80956666200000E-02 6.97431585086000E-01 7.15035657137000E-01 1.07919626781121E-02
380 7.67003463662000E-01 1.53529615597000E-01 6.23004288801000E-01 1.53721339861058E-02
381 9.62869815110000E-01 2.38004521831000E-01 1.27418863355000E-01 9.17192454409676E-03
382 -3.48267310830000E-02 9.75404901964000E-01 -2.17651960768000E-01 1.35659711022253E-02
383 -7.22503892086000E-01 5.91774747095000E-01 -3.57478355459000E-01 1.17016074694741E-02
384 -8.15759794510000E-01 -3.65679157066000E-01 -4.48123545185000E-01 1.65631460282965E-02
385 -6.29928640865000E-01 3.48329292010000E-01 6.94158923983000E-01 1.95769427847624E-02
386 -1.71064354468000E-01 2.76677402171000E-01 -9.45614404373000E-01 1.16517395558896E-02
387 -1.77845244026000E-01 -6.58051452771000E-01 -7.31668883227000E-01 1.72602337714992E-02
388 1.50803260104000E-01 -7.29867122969000E-01 6.66747598084000E-01 1.59579671129871E-02
389 3.54839954670000E-02 7.14138854996000E-01 -6.99104128046000E-01 1.34478295477725E-02
390 6.03133882230000E-01 -7.84733957286000E-01 -1.42906040420000E-01 1.83917279803408E-02
391 2.95120335700000E-02 9.45021688284000E-01 -3.25673223565000E-01 1.37726828829066E-02
392 1.53859807794000E-01 -8.47666770353000E-01 -5.07728476634000E-01 1.60224084132926E-02
393 -5.66215228655000E-01 5.07038862812000E-01 -6.49855296537000E-01 1.64073099352356E-02
394 -9.62748313255000E-01 -2.04247165642000E-01 1.77197010846000E-01 1.75378069594333E-02
395 -2.89165130587000E-01 -4.30806050563000E-01 8.54862371409000E-01 2.42118019261882E-02
396 -8.11211898240000E-01 -5.05509745139000E-01 -2.93930525333000E-01 1.68429926727214E-02
397 4.17243903930000E-02 -5.87992835719000E-01 8.07789267315000E-01 1.98824458221361E-02
398 -2.97413325681000E-01 -4.63537749772000E-01 -8.34672431702000E-01 1.53382584148159E-02
399 -4.68559280940000E-01 8.77791845009000E-01 -9.96678337340000E-02 1.03146613892070E-02
400 4.24018334848000E-01 -8.64103901830000E-01 2.71169501520000E-01 1.46673729458447E-02
401 -2.93058962446000E-01 6.45575406134000E-01 7.05229636023000E-01 6.49015663838331E-03
402 8.26399736974000E-01 -5.02508165477000E-01 -2.54064988455000E-01 1.81114664252409E-02
403 4.12402300049000E-01 -9.13151746000000E-04 -9.11001377095000E-01 1.19597740867369E-02
404 -7.07233894716000E-01 3.77794850602000E-01 5.97571141391000E-01 1.43544583910236E-02
405 4.61837225460000E-02 -7.68310972744000E-01 6.38408421728000E-01 1.73920776739507E-02
406 -5.21389932596000E-01 3.10865017023000E-01 -7.94679482168000E-01 1.52298156196331E-02
407 2.37617352418000E-01 7.09342894360000E-02 -9.68765358801000E-01 1.16096063640908E-02
408 4.10311155995000E-01 2.18804935606000E-01 -8.85307379062000E-01 1.08026149373599E-02
409 6.52297326740000E-01 -5.00562523973000E-01 5.69161977930000E-01 9.19086950626173E-03
410 -9.38019584864000E-01 -2.02722319290000E-01 -2.81110155764000E-01 1.08761777532797E-02
411 7.23747731868000E-01 6.85325252488000E-01 -8.07373452580000E-02 1.16322160471067E-02
412 3.04450551212000E-01 -9.03919915020000E-01 3.00397485171000E-01 1.48236296959185E-02
413 2.20060917213000E-01 8.77796730709000E-01 -4.25495114276000E-01 1.48417165787004E-02
414 -4.18062947480000E-02 9.74028658959000E-01 2.22531807267000E-01 1.91203269221395E-02
415 2.81356566316000E-01 -3.57978605510000E-01 8.90331286987000E-01 1.67775094997233E-02
416 -7.17648374348000E-01 -2.82555134400000E-03 -6.96399904548000E-01 1.65948755002086E-02
417 -5.93819103757000E-01 5.64997837094000E-01 5.72849296144000E-01 1.55113592515159E-02
418 9.42841811064000E-01 -2.86045368833000E-01 1.70960130669000E-01 1.58835945190347E-02
419 -7.60639963213000E-01 -6.49170021245000E-01 2.26492389300000E-03 1.13326630034694E-02
420 9.86544255992000E-01 -1.13632943439000E-01 -1.17549926137000E-01 1.20033631208875E-02
421 7.05035080485000E-01 4.40188591106000E-01 -5.56021168254000E-01 1.53001805482457E-02
422 -6.45232594173000E-01 -6.24412874939000E-01 4.40208429074000E-01 1.99282064810789E-02
423 6.76939169565000E-01 -6.69470951274000E-01 -3.05879071055000E-01 1.71347127575373E-02
424 -2.85236792801000E-01 8.65253528325000E-01 -4.12281825642000E-01 1.19009026569555E-02
425 -4.18667758950000E-02 8.98047694873000E-01 4.37901256917000E-01 2.07562819578613E-02
426 -8.91483475473000E-01 -2.36863287980000E-02 4.52433609258000E-01 1.31095881793515E-02
427 4.97757706335000E-01 -5.06384734901000E-01 -7.04139024656000E-01 1.76867913224388E-02
428 -7.36877246837000E-01 5.02391141927000E-01 -4.52343966033000E-01 1.15812175780300E-02
429 -3.54223207233000E-01 5.04090522457000E-01 -7.87666594840000E-01 1.72427059408765E-02
430 1.37034795870000E-01 -5.61986780629000E-01 -8.15715834785000E-01 1.68908045120742E-02
431 -6.67094382137000E-01 6.91047299812000E-01 2.78278124802000E-01 1.00336932043819E-02
432 9.47149222296000E-01 -3.18268761312000E-01 4.01664820010000E-02 1.11359427446749E-02
433 -7.77278616126000E-01 -4.74906210504000E-01 -4.12676682329000E-01 1.34625669590794E-02
434 3.43990887963000E-01 -9.19902059173000E-01 1.88282953363000E-01 1.56220148615685E-02
435 5.69422869550000E-01 -7.07646170074000E-01 4.18323431824000E-01 1.71644429016959E-02
436 -5.00820111160000E-02 -4.82099734217000E-01 -8.74683736233000E-01 1.48861084074994E-02
437 -9.22279720344000E-01 -3.18342286267000E-01 2.19222047745000E-01 1.40094203629157E-02
438 -1.77323173113000E-01 -5.64558772230000E-02 -9.82532048436000E-01 1.24905151786169E-02
439 9.11623650634000E-01 -3.93833554049000E-01 1.17632696599000E-01 1.69479186909985E-02
440 -3.58483825048000E-01 -1.03176045751000E-01 9.27816819616000E-01 1.31276831011819E-02
441 7.87397279798000E-01 -2.07000146731000E-01 -5.80651757098000E-01 1.71858718575549E-02
442 7.44103639551000E-01 -1.21155553498000E-01 -6.56986381490000E-01 1.32335814622098E-02
443 6.75906339057000E-01 -1.56142408637000E-01 7.20257015965000E-01 9.94979059309207E-03
444 6.83038757408000E-01 6.98749285857000E-01 2.12620533800000E-01 1.57664567999487E-02
445 -1.45205587024000E-01 5.70522399106000E-01 -8.08343695228000E-01 1.82770640260826E-02
446 -7.90200922350000E-02 3.65689080549000E-01 -9.27376580139000E-01 1.20192509171303E-02
447 7.63442619770000E-02 7.05864790691000E-01 7.04220456197000E-01 8.94208174473244E-03
448 5.07283555217000E-01 8.09667617711000E-01 -2.95130044957000E-01 1.06795316288555E-02
449 8.58589180456000E-01 2.67817923452000E-01 -4.37147777166000E-01 1.45071388893553E-02
450 5.25995298681000E-01 2.16738083000000E-02 -8.50211263039000E-01 1.23419851684986E-02
451 4.98156197821000E-01 5.77171672991000E-01 -6.47080568762000E-01 9.57417129902451E-03
452 9.17968532136000E-01 -2.64946796409000E-01 2.95189717099000E-01 1.59308762549718E-02
453 -8.50213135413000E-01 1.92408083112000E-01 -4.90017095542000E-01 1.53523870782600E-02
454 3.48532741050000E-01 4.90170241310000E-02 9.36014027545000E-01 2.00200276369719E-02
455 5.88538472127000E-01 -3.59369446348000E-01 7.24207199534000E-01 9.50870889932508E-03
456 -1.13957484201000E-01 -5.74840890661000E-01 -8.10291084869000E-01 1.43334138596542E-02
457 -5.80503237755000E-01 -5.24238577984000E-01 6.23048877946000E-01 2.05233629200400E-02
458 4.33510197464000E-01 -6.07992497014000E-01 -6.65142114340000E-01 1.56205320957516E-02
459 3.36342526913000E-01 9.18411506050000E-01 -2.08312289953000E-01 1.07565429024734E-02
460 6.58319516289000E-01 2.90320486710000E-01 -6.94499409266000E-01 1.49887993160276E-02
461 6.84949398828000E-01 7.28295894626000E-01 2.07222324350000E-02 1.37999759762923E-02
462 -5.65059061186000E-01 -8.23457914798000E-01 -5.12378759110000E-02 1.19823234071684E-02
463 5.04717094627000E-01 -3.07913649656000E-01 -8.06504704727000E-01 1.84137975043185E-02
464 4.81797240712000E-01 2.89241755945000E-01 -8.27170251799000E-01 1.63518264064283E-02
465 1.20893154600000E-02 -9.83839679114000E-01 -1.78643035835000E-01 1.18271631801178E-02
466 7.61299080413000E-01 4.67704851604000E-01 -4.49083379729000E-01 1.48402098825823E-02
467 -8.53067203598000E-01 -1.16946600100000E-02 -5.21669992498000E-01 1.58487785347739E-02
468 -9.78328964994000E-01 1.96473647737000E-01 -6.53493840670000E-02 1.49766591731095E-02
469 -3.75220888929000E-01 1.91126356470000E-01 -9.07017089351000E-01 1.47222714695985E-02
470 1.74080765705000E-01 -9.25963654373000E-01 3.35092819665000E-01 2.02543946433240E-02
471 4.85477314638000E-01 -9.39371326710000E-02 8.69187892275000E-01 1.86711840292824E-02
472 6.70219332813000E-01 -3.90222650173000E-01 6.31294170110000E-01 1.41513527878625E-02
473 -8.26905109122000E-01 -4.02993343560000E-02 5.60895626796000E-01 1.62401489110883E-02
474 4.12571963233000E-01 -8.93716469851000E-01 -1.76224988781000E-01 1.67374781953584E-02
475 -9.38937347967000E-01 4.82967877160000E-02 -3.40681782444000E-01 1.67805108710496E-02
476 5.33395090742000E-01 4.73216951324000E-01 -7.01110115568000E-01 1.48721034553501E-02
477 4.02456655753000E-01 9.08018547732000E-01 1.16322642744000E-01 1.16530771914762E-02
478 7.38098724808000E-01 -4.19108456815000E-01 5.28732800063000E-01 1.78648938790858E-02
479 9.75453862962000E-01 -2.17595036676000E-01 -3.37958761680000E-02 1.82966806590757E-02
480 5.34431513903000E-01 8.38715071366000E-01 1.04594388053000E-01 1.24966173577662E-02
481 6.18437671496000E-01 5.77069450481000E-01 5.33409501036000E-01 1.40529955029623E-02
482 -8.20341438124000E-01 9.12491212380000E-02 -5.64547183829000E-01 1.30349201623914E-02
483 -4.63789473502000E-01 2.24448559141000E-01 8.57042687716000E-01 1.20019554907495E-02
484 -6.62247923310000E-01 -5.35259694146000E-01 5.24332669108000E-01 1.42791856973841E-02
485 -1.59867740779000E-01 1.88659487837000E-01 9.68942672766000E-01 3.94506762504652E-03
486 -7.92540706358000E-01 -1.45127433602000E-01 5.92298283623000E-01 1.19815043994841E-02
487 -6.39184631427000E-01 -2.15251162293000E-01 -7.38315612783000E-01 1.74762586705333E-02
488 8.75572524933000E-01 -3.89779677182000E-01 -2.85384927492000E-01 1.50175024461442E-02
489 5.70824116623000E-01 7.89631685106000E-01 2.25036951983000E-01 1.34027354104771E-02
490 -7.63953789554000E-01 -6.34166089276000E-01 -1.19197225800000E-01 1.67775468505834E-02
491 8.60949015711000E-01 -3.56878889565000E-01 3.62497242099000E-01 1.64721987840469E-02
492 2.06949875732000E-01 -9.72633611177000E-01 -1.05620108615000E-01 1.56346141873317E-02
493 6.54555651038000E-01 -1.58031826460000E-01 -7.39312411312000E-01 1.67372807395218E-02
494 -6.87935526117000E-01 -5.41876987078000E-01 -4.82818850898000E-01 1.72440849402096E-02
495 4.52762600429000E-01 7.61315145291000E-01 4.64117740669000E-01 8.37178299402147E-03
496 -5.03853368428000E-01 -3.62116442273000E-01 -7.84221566497000E-01 1.92030358844472E-02
497 5.13877272183000E-01 7.10055970023000E-01 -4.81404890470000E-01 9.55080595873732E-03
498 3.87967855712000E-01 -4.03683910353000E-01 8.28565171520000E-01 1.16383359307908E-02
499 2.14071377862000E-01 9.51372025916000E-01 2.21505560843000E-01 8.77714623520155E-03
500 3.16848690572000E-01 -9.40052822647000E-01 -1.26125326231000E-01 1.21440156136330E-02
501 4.48409354304000E-01 -4.20324714255000E-01 -7.88832165646000E-01 1.44499089330731E-02
502 -2.52682711754000E-01 4.77408069790000E-01 8.41565791890000E-01 1.32338409506370E-02
503 -4.61387358941000E-01 5.06205916609000E-01 -7.28613254751000E-01 1.29633575346085E-02
504 1.81552458696000E-01 -9.35902713288000E-01 -3.01868872198000E-01 1.48351668417136E-02
505 9.06750676360000E-02 -9.11012331066000E-01 -4.02286669871000E-01 1.06351486138324E-02
506 9.22676485702000E-01 -3.12114352370000E-02 3.84309704592000E-01 1.13452860184993E-02
507 1.03502195930000E-01 -8.25417183352000E-01 5.54953843905000E-01 1.22697194426183E-02
508 2.15879546981000E-01 -9.50436596207000E-01 2.23754994997000E-01 8.86586819686048E-03
509 -1.14927521772000E-01 -7.40691213134000E-01 -6.61942740368000E-01 1.14296831581874E-02
510 7.27847114230000E-02 -6.58497311671000E-01 -7.49055189092000E-01 1.39286991889793E-02
511 -5.56508809876000E-01 6.63297189992000E-01 5.00334670275000E-01 1.68864587554579E-02
512 9.01748536141000E-01 4.31984407315000E-01 -1.54612225980000E-02 1.74142097498637E-02
513 7.99992479943000E-01 2.92341146600000E-02 5.99297420797000E-01 1.70120425932853E-02
514 8.63522516360000E-01 1.49229579698000E-01 -4.81725436616000E-01 1.38169556474760E-02
515 1.50601019166000E-01 -6.33764319936000E-01 7.58724007662000E-01 1.37099015687459E-02
516 -5.39440285753000E-01 8.22833668305000E-01 -1.78742642955000E-01 1.84556257597647E-02
517 -3.81696006486000E-01 6.98630670238000E-01 -6.05163899482000E-01 1.39778423811306E-02
518 -5.26390002749000E-01 -8.31810021948000E-01 -1.76084219600000E-01 1.18686229009389E-02
519 -6.59378863391000E-01 -2.03662497673000E-01 7.23699593447000E-01 1.66174943418704E-02
520 -4.29850544661000E-01 -8.93000280847000E-01 1.33337945320000E-01 1.80841349898664E-02
521 -2.52777036347000E-01 7.34921818875000E-01 6.29280295288000E-01 1.45094852753048E-02
522 -2.74819696579000E-01 -9.61418098747000E-01 -1.22218563840000E-02 2.05261541854052E-02
523 -5.63563267305000E-01 6.82441480050000E-01 -4.65478323933000E-01 1.28492545425155E-02
524 6.71793350511000E-01 6.63799964573000E-01 -3.28729830168000E-01 1.16359865802016E-02
525 2.56920943011000E-01 -1.38713716845000E-01 -9.56425707413000E-01 1.19355193049048E-02
526 -1.77607832609000E-01 -6.93394866613000E-01 6.98325867164000E-01 5.27496610009023E-03
527 -5.83183170125000E-01 -4.18392771878000E-01 6.96308034222000E-01 1.54753508344455E-02
528 -7.72149033221000E-01 4.02872213931000E-01 4.91405992778000E-01 1.14380946660916E-02
529 -8.85642252839000E-01 -4.56800698415000E-01 -8.34920470090000E-02 1.74532416469302E-02
530 2.42202312707000E-01 1.50734201780000E-02 9.70108670059000E-01 9.18192671893293E-03
531 3.35859369320000E-02 8.45469868302000E-01 5.32965933840000E-01 5.02388931195587E-03
532 5.81356265779000E-01 2.15521328390000E-01 7.84586164324000E-01 6.42338519341207E-03
533 8.77451696210000E-02 -9.63960635470000E-01 2.51158671904000E-01 1.20604350155798E-02
534 -9.86348189622000E-01 -1.48208193215000E-01 -7.17745100520000E-02 1.06355039407887E-02
535 -3.83906459217000E-01 -8.63518609257000E-01 -3.27034313242000E-01 1.16473939642596E-02
536 -4.79546540076000E-01 -4.96840689813000E-01 -7.23314900197000E-01 1.40349458379271E-02
537 7.83848511077000E-01 -5.76002115443000E-01 2.31954897960000E-01 6.92661284692453E-03
538 -2.93191913927000E-01 2.92183707352000E-01 -9.10311585539000E-01 1.24831285410393E-02
539 -5.12892958994000E-01 8.30042392996000E-01 2.19021547899000E-01 1.10938189704699E-02
540 9.75605247630000E-01 -2.00244995081000E-01 8.99796796020000E-02 1.34736996703443E-02
541 -2.64377236823000E-01 5.86180709898000E-01 -7.65830824656000E-01 1.21496913374644E-02
542 -4.73548515367000E-01 -8.46072101589000E-01 2.44772961144000E-01 8.27759390997712E-03
543 -4.57543372176000E-01 8.25860491580000E-01 3.29558054105000E-01 1.44552813342577E-02
544 2.81138476354000E-01 -9.30723986208000E-01 -2.33910278977000E-01 1.52153220162664E-02
545 4.16506136980000E-02 -6.83577422000000E-01 7.28688640306000E-01 8.04159453380205E-03
546 -9.25355986337000E-01 -3.79047714843000E-01 6.25527158100000E-03 1.38253737514369E-02
547 1.45043904172000E-01 3.45528113927000E-01 9.27131375992000E-01 1.31377693545769E-02
548 2.40779302080000E-02 3.11107630120000E-02 -9.99225887226000E-01 1.46914993521267E-02
549 -9.47826385203000E-01 1.06771650174000E-01 3.00374696392000E-01 1.44011800886635E-02
550 2.79454008096000E-01 9.54601923665000E-01 -1.03153403700000E-01 1.73252725207218E-02
551 8.02768960808000E-01 2.37852237119000E-01 -5.46798234142000E-01 1.44085628673731E-02
552 -6.39826647957000E-01 2.33381658359000E-01 7.32225963829000E-01 1.50049684961906E-02
553 5.46114373760000E-02 -3.74736276443000E-01 9.25521644277000E-01 7.48514103816911E-03
554 -1.00560146439000E-01 4.79987058070000E-02 -9.93772499715000E-01 1.39618970550890E-02
555 -7.49237731473000E-01 9.97316727570000E-02 -6.54749123853000E-01 1.41998054698686E-02
556 1.01088258960000E-02 -7.40242141123000E-01 -6.72264370724000E-01 1.62965397563322E-02
557 -4.57581304003000E-01 -1.53605984392000E-01 8.75799378731000E-01 4.44394111529147E-03
558 2.50983217486000E-01 -7.09982706454000E-01 -6.57975669062000E-01 1.54533010844588E-02
559 4.55336833001000E-01 4.09929693273000E-01 -7.90332850821000E-01 1.01884572774507E-02
560 -6.92755268756000E-01 2.11674523462000E-01 -6.89408466534000E-01 1.52647328380875E-02
561 -4.92020127649000E-01 -5.01175471110000E-01 7.11856264386000E-01 3.43789376641760E-03
562 -9.74425244157000E-01 -1.14942832671000E-01 -1.93089587413000E-01 1.64801659413783E-02
563 -9.87087885717000E-01 -8.52692761720000E-02 1.35597405621000E-01 1.10134526576907E-02
564 -2.15725669628000E-01 7.55305937290000E-02 9.73528409896000E-01 2.03589781112470E-02
565 4.50367977350000E-01 8.70780355651000E-01 -1.97256830528000E-01 1.66962573842421E-02
566 -7.90331303989000E-01 -1.98917732818000E-01 -5.79489573251000E-01 1.52750636455919E-02
567 5.67434726119000E-01 -6.56184466474000E-01 -4.97433189035000E-01 1.54694790136570E-02
568 3.22113126823000E-01 7.00093446303000E-01 6.37269409255000E-01 1.15021003493163E-02
569 -1.22552846604000E-01 -8.58688031553000E-01 4.97630047583000E-01 1.36190400355528E-02
570 -8.73523698346000E-01 -4.84383123089000E-01 4.82632209320000E-02 1.09677500376035E-02
571 -5.77067362774000E-01 -7.75318382547000E-01 2.56660601778000E-01 1.63694885271483E-02
572 -7.77404913427000E-01 2.07721328109000E-01 -5.93711588592000E-01 1.37087933783623E-02
573 -3.89032897947000E-01 -9.21136932561000E-01 1.26552671780000E-02 1.21470712116705E-02
574 -8.88207668821000E-01 4.44077927834000E-01 -1.17821606922000E-01 1.23224595077278E-02
575 -7.86383560759000E-01 2.88151816601000E-01 5.46415067469000E-01 1.64241794567600E-02
576 9.48931924863000E-01 1.98230580259000E-01 -2.45423794742000E-01 1.32251923044116E-02
577 -5.44429015339000E-01 -7.06683983630000E-01 4.51879181350000E-01 1.68265224636323E-02
578 5.02789890401000E-01 -7.95321945597000E-01 3.38622694105000E-01 8.19691480447390E-03
579 8.00392771766000E-01 -4.72045143849000E-01 -3.69519678872000E-01 9.76747451788506E-03
580 2.73816111252000E-01 3.50223653925000E-01 8.95750037371000E-01 1.65728547812348E-02
581 -4.48397002110000E-02 -8.11182323879000E-01 -5.83071726901000E-01 1.38716650317811E-02
582 1.66196724225000E-01 -4.27419217886000E-01 8.88645858055000E-01 2.09911575968038E-02
583 -6.92116979241000E-01 7.18778814277000E-01 -6.58111175510000E-02 1.81799795949736E-02
584 8.84106186808000E-01 3.02577345596000E-01 3.56094370048000E-01 1.75198526792336E-02
585 -2.31040327389000E-01 -9.63343973383000E-01 -1.36340588479000E-01 1.12349241437687E-02
